"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"E2E - тесты (полные)","keeper - частичная оплата - рандомные поз без скидки - без чая, с сб - карта - отзыв","","1","0","6","0","0"
"E2E - тесты (полные)","keeper - полная оплата когда разделили счёт - рандомные поз без скидки - чай+сбор - карта - негативный отзыв","","1","0","9","0","0"
"E2E - тесты (полные)","keeper - частичная оплата - рандомные поз без скидки - без чая, без сб - карта - отзыв","","1","0","6","0","0"
"E2E - тесты (полные)","keeper - частичная оплата когда разделили счёт - рандомные поз без скидки - чай+сбор - карта - отзыв","","1","0","7","0","0"
"E2E - тесты (полные)","keeper - полная оплата, разделяя счёт по позиции в 2 заказа - рандомные поз без скидки - чай+сбор - карта - отзыв","","1","0","6","0","0"
"E2E - тесты (полные)","keeper - оплата, разделяя счёт по позиции до самого конца - рандомные поз без скидки - чай+сбор - карта","","1","0","5","0","0"
"Debug","","","0","0","0","2","0"
"E2E - тесты (полные)","keeper - полная оплата - поз без скидки - чай+сбор - карта - отзыв","","1","0","5","0","0"
"E2E - тесты (полные)","keeper - частичная оплата - рандом поз без скидки - чай+сбор - карта - отзыв","","1","0","6","0","0"
