"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 14 19:06:37 GMT 2022","Mon Nov 14 19:06:38 GMT 2022","1543","","keeper - частичная оплата - рандомные поз без скидки - без чая, с сб - карта - отзыв","","tapper.tests.e2e.PartPayNoTipScTest","reviewCorrect","Оставление 5 отзыва с рандомным пожеланием",""
"passed","Mon Nov 14 19:11:35 GMT 2022","Mon Nov 14 19:11:40 GMT 2022","5237","","keeper - полная оплата когда разделили счёт - рандомные поз без скидки - чай+сбор - карта - негативный отзыв","","tapper.tests.e2e.DivideCheckAndFullPayTest","paymentCorrect","Проверка что оплата полностью корректна, все статусы о транзакции поочередно исполняются",""
"passed","Mon Nov 14 19:06:38 GMT 2022","Mon Nov 14 19:06:56 GMT 2022","17522","","keeper - частичная оплата - рандомные поз без скидки - без чая, с сб - карта - отзыв","","tapper.tests.e2e.PartPayNoTipScTest","closeOrder","Закрываем заказ, очищаем кассу",""
"passed","Mon Nov 14 19:07:36 GMT 2022","Mon Nov 14 19:07:41 GMT 2022","5644","","keeper - частичная оплата - рандомные поз без скидки - без чая, без сб - карта - отзыв","","tapper.tests.e2e.PartPayNoTipNoScTest","paymentCorrect","Проверка что оплата полностью корректна, все статусы о транзакции поочередно исполняются",""
"passed","Mon Nov 14 19:10:24 GMT 2022","Mon Nov 14 19:10:25 GMT 2022","1596","","keeper - частичная оплата когда разделили счёт - рандомные поз без скидки - чай+сбор - карта - отзыв","","tapper.tests.e2e.DivideCheckAndPartPayTest","reviewCorrect","Оставление 5 отзыва с рандомным пожеланием",""
"passed","Mon Nov 14 19:08:54 GMT 2022","Mon Nov 14 19:09:14 GMT 2022","20441","","keeper - полная оплата, разделяя счёт по позиции в 2 заказа - рандомные поз без скидки - чай+сбор - карта - отзыв","","tapper.tests.e2e.PartAndFullPayTipScTest","payTillEnd","Разделяем счёт, оплачиваем оставшиеся позиции",""
"passed","Mon Nov 14 19:12:45 GMT 2022","Mon Nov 14 19:13:00 GMT 2022","14649","","keeper - оплата, разделяя счёт по позиции до самого конца - рандомные поз без скидки - чай+сбор - карта","","tapper.tests.e2e.DivideAndPayTillEndTest","payAndGoToAcquiring","Переход на эквайринг, ввод данных, оплата",""
"passed","Mon Nov 14 19:10:47 GMT 2022","Mon Nov 14 19:10:50 GMT 2022","3193","","keeper - полная оплата когда разделили счёт - рандомные поз без скидки - чай+сбор - карта - негативный отзыв","","tapper.tests.e2e.DivideCheckAndFullPayTest","createAndFillOrder","Создание заказа в r_keeper","Ресторан {R_KEEPER_RESTAURANT} - блюдо - {BARNOE_PIVO}"
"skipped","Mon Nov 14 19:17:48 GMT 2022","Mon Nov 14 19:17:48 GMT 2022","0","","E2E","","tapper.tests.DebugTests","test","Debugging",""
"failed","Mon Nov 14 19:03:49 GMT 2022","Mon Nov 14 19:04:11 GMT 2022","21633","","keeper - полная оплата - поз без скидки - чай+сбор - карта - отзыв","","tapper.tests.e2e.FullPayTest","openAndCheck","Проверяем работу всех активных элементов на странице, проверка блюд на кассе и в таппере",""
"failed","Mon Nov 14 19:08:08 GMT 2022","Mon Nov 14 19:08:23 GMT 2022","14878","","keeper - полная оплата, разделяя счёт по позиции в 2 заказа - рандомные поз без скидки - чай+сбор - карта - отзыв","","tapper.tests.e2e.PartAndFullPayTipScTest","openAndCheck","Проверяем работу всех активных элементов на странице, проверка блюд на кассе и в таппере",""
"passed","Mon Nov 14 19:06:32 GMT 2022","Mon Nov 14 19:06:37 GMT 2022","5089","","keeper - частичная оплата - рандомные поз без скидки - без чая, с сб - карта - отзыв","","tapper.tests.e2e.PartPayNoTipScTest","paymentCorrect","Проверка что оплата полностью корректна, все статусы о транзакции поочередно исполняются",""
