"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Nov 14 04:58:22 GMT 2022","Mon Nov 14 04:58:25 GMT 2022","3674","","keeper - полная оплата - поз без скидки - чай+сбор - карта - отзыв","","tapper.tests.e2e.FullPayTest","openAndCheck","Проверка всех элементов",""
"broken","Mon Nov 14 04:58:26 GMT 2022","Mon Nov 14 04:58:26 GMT 2022","14","","keeper - полная оплата - поз без скидки - чай+сбор - карта - отзыв","","tapper.tests.e2e.FullPayTest","paymentCorrect","Проверка что оплата полностью корректна, все статусы о транзакции поочередно исполняются",""
"broken","Mon Nov 14 04:58:25 GMT 2022","Mon Nov 14 04:58:26 GMT 2022","79","","keeper - полная оплата - поз без скидки - чай+сбор - карта - отзыв","","tapper.tests.e2e.FullPayTest","checkSumTipsSC","Проверка суммы, чаевых, сервисного сбора, оплачиваем все позиции",""
"broken","Mon Nov 14 04:58:26 GMT 2022","Mon Nov 14 04:58:26 GMT 2022","4","","keeper - полная оплата - поз без скидки - чай+сбор - карта - отзыв","","tapper.tests.e2e.FullPayTest","reviewCorrect","Оставление 5 отзыва с рандомным пожеланием",""
"passed","Mon Nov 14 04:58:16 GMT 2022","Mon Nov 14 04:58:22 GMT 2022","5617","","keeper - полная оплата - поз без скидки - чай+сбор - карта - отзыв","","tapper.tests.e2e.FullPayTest","createAndFillOrder","Создание заказа в r_keeper",""
"broken","Mon Nov 14 04:58:26 GMT 2022","Mon Nov 14 04:58:26 GMT 2022","61","","keeper - полная оплата - поз без скидки - чай+сбор - карта - отзыв","","tapper.tests.e2e.FullPayTest","payAndGoToAcquiring","Переход на эквайринг, ввод данных, оплата",""
