"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"E2E - тесты (полные)","keeper - открытие стола у двух гостей, второй гость выбирает и отменяет позиции, у первого не должно быть заблокировано для оплаты","","0","6","1","0","0"
"E2E - тесты (полные)","keeper - полная оплата по кнопке 'Оплатить' - позиции с модификаторами - чай+сбор","","0","6","1","0","0"
"E2E - тесты (полные)","keeper - проверяем логику установки дефолтных чаевых по сумме заказа, сброс чаевых","","0","13","1","0","0"
"E2E - тесты (полные)","keeper - добавление и затем удаление позиции уже в созданный заказ' - обычные позиции - чай+сбор","","0","5","3","0","0"
"E2E - тесты (полные)","tapper - переход на пустой стол, создание заказа на кассе, появление заказа в таппере","","0","4","1","0","0"
"E2E - тесты (полные)","Общая функциональность таппера","","0","19","1","0","0"
"E2E - тесты (полные)","keeper - частичная оплата - обычные позиции - без чая и без сбора","","0","6","1","0","0"
"E2E - тесты (полные)","keeper - частичная оплата - обычные позиции - без чая + сбор","","0","6","1","0","0"
"E2E - тесты (полные)","keeper - частичная и полная оплата, разделяя счёт по позиции в 2 заказа - обычные позиции - чай+сбор","","0","6","1","0","0"
"E2E - тесты (полные)","keeper - полная оплата по кнопке 'Оплатить' - все обычные позиции - чай+сбор","","0","6","1","0","0"
"E2E - тесты (полные)","keeper - частичная оплата когда разделили счёт - обычные позиции - чай+сбор","","0","7","1","0","0"
"E2E - тесты (полные)","keeper - полная оплата по кнопке 'Оплатить' с ручным вводом чаевых - обычные позиции - чай+сбор","","0","6","1","0","0"
"E2E - тесты (полные)","keeper - частичная и полная оплата - порционная позиция - чай+сбор","","0","6","1","0","0"
"E2E - тесты (полные)","keeper - частичная оплата, делимся ссылкой, оплачиваем всё - обычные позиции - чай+сбор","","0","7","1","0","0"
"E2E - тесты (полные)","keeper - частичная оплата - обычные позиции - чай+сбор","","0","6","1","0","0"
"E2E - тесты (полные)","keeper - выбираем позиции, разделяем блюдо и проверяем что блюда заблокированы и в статусе ожидаются 4+ мин","","0","5","1","0","0"
"E2E - тесты (полные)","keeper - оплата, разделяя счёт по позиции до самого конца - обычные - чай+сбор","","0","6","1","0","0"
