"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Nov 25 12:57:24 GMT 2022","Fri Nov 25 12:57:24 GMT 2022","15","","keeper - открытие стола у двух гостей, второй гость выбирает и отменяет позиции, у первого не должно быть заблокировано для оплаты","","tapper.tests.e2e._0_7_ChosenDishesAreAvailableInAnotherGuestAfterCancelingTest","openNewTab","3. Открытие стола во второй вкладке под новым юзером",""
"broken","Fri Nov 25 12:56:30 GMT 2022","Fri Nov 25 12:56:30 GMT 2022","4","","keeper - полная оплата по кнопке 'Оплатить' - позиции с модификаторами - чай+сбор","","tapper.tests.e2e._0_2_ModificatorTest","checkPayment","6. Проверяем корректность оплаты, проверяем что транзакция в б2п соответствует оплате",""
"broken","Fri Nov 25 13:00:24 GMT 2022","Fri Nov 25 13:00:24 GMT 2022","212","","keeper - проверяем логику установки дефолтных чаевых по сумме заказа, сброс чаевых","","tapper.tests.e2e._0_5_CheckDefaultTipsLogicBySumTest","openAndCheck","1.2. Открытие стола, проверка что позиции на кассе совпадают с позициями в таппере",""
"broken","Fri Nov 25 12:59:25 GMT 2022","Fri Nov 25 12:59:25 GMT 2022","7","","keeper - добавление и затем удаление уже в созданный заказ - обычные позиции - чай+сбор","","tapper.tests.e2e._0_4_AddDishInExistOrderTest","checkSumTipsSC","3. Проверка суммы, чаевых, сервисного сбора",""
"broken","Fri Nov 25 12:56:24 GMT 2022","Fri Nov 25 12:56:25 GMT 2022","8","","tapper - переход на пустой стол, создание заказа на кассе, появление заказа в таппере","","tapper.tests.e2e._0_1_TapperOrderAppearsWhenCreatedInKeeperTest","finishOrder","4. Закрываем заказ",""
"passed","Fri Nov 25 12:59:27 GMT 2022","Fri Nov 25 13:00:24 GMT 2022","57519","","keeper - проверяем логику установки дефолтных чаевых по сумме заказа, сброс чаевых","","tapper.tests.e2e._0_5_CheckDefaultTipsLogicBySumTest","createAndFillOrder","1.1. Создание заказа в r_keeper",""
"broken","Fri Nov 25 13:00:27 GMT 2022","Fri Nov 25 13:00:27 GMT 2022","10","","keeper - проверяем логику установки дефолтных чаевых по сумме заказа, сброс чаевых","","tapper.tests.e2e._0_5_CheckDefaultTipsLogicBySumTest","isTipsBySumLogicCorrectAgain3","2. Проверяем что логика чаевых по сумме корректна к 15%",""
"broken","Fri Nov 25 13:00:28 GMT 2022","Fri Nov 25 13:00:28 GMT 2022","6","","keeper - проверяем логику установки дефолтных чаевых по сумме заказа, сброс чаевых","","tapper.tests.e2e._0_5_CheckDefaultTipsLogicBySumTest","closeOrder","2.9. Закрываем заказ, очищаем кассу",""
"broken","Fri Nov 25 12:55:25 GMT 2022","Fri Nov 25 12:55:25 GMT 2022","9","","Общая функциональность таппера","","tapper.tests.e2e._0_0_AllElementsTest","isTipsContainerCorrect","1.8. Проверяем что все элементы в блоке чаевых отображаются корректно",""
"broken","Fri Nov 25 13:07:24 GMT 2022","Fri Nov 25 13:07:26 GMT 2022","2009","","keeper - частичная оплата - обычные позиции - без чая и бес сбора","","tapper.tests.e2e._2_3_PartPayNoTipNoScTest","checkSumTipsSC","3. Выбираем рандомно блюда, проверяем все суммы и условия, оплачиваем",""
"broken","Fri Nov 25 13:06:26 GMT 2022","Fri Nov 25 13:06:26 GMT 2022","2","","keeper - частичная оплата - обычные позиции - без чая + сбор","","tapper.tests.e2e._2_2_PartPayNoTipScTest","checkPayment","6. Проверяем корректность оплаты, проверяем что транзакция в б2п соответствует оплате",""
"broken","Fri Nov 25 12:57:24 GMT 2022","Fri Nov 25 12:57:24 GMT 2022","8","","keeper - открытие стола у двух гостей, второй гость выбирает и отменяет позиции, у первого не должно быть заблокировано для оплаты","","tapper.tests.e2e._0_7_ChosenDishesAreAvailableInAnotherGuestAfterCancelingTest","setAnotherGuestCookie","4. Подменяем данные, словно новый гость",""
"broken","Fri Nov 25 13:08:26 GMT 2022","Fri Nov 25 13:08:26 GMT 2022","3","","keeper - частичная и полная оплата, разделяя счёт по позиции в 2 заказа - обычные позиции - чай+сбор","","tapper.tests.e2e._2_4_PartAndFullPayTipScTest","savePaymentDataForAcquiring","4. Сохраняем данные по оплате для проверки их корректности на эквайринге, и транзакции б2п",""
"broken","Fri Nov 25 13:01:24 GMT 2022","Fri Nov 25 13:01:24 GMT 2022","10","","keeper - полная оплата по кнопке 'Оплатить' - все обычные позиции - чай+сбор","","tapper.tests.e2e._1_1_FullPayTest","payAndGoToAcquiring","5. Переходим на эквайринг, вводим данные, оплачиваем заказ",""
"broken","Fri Nov 25 12:59:24 GMT 2022","Fri Nov 25 12:59:25 GMT 2022","219","","keeper - добавление и затем удаление уже в созданный заказ - обычные позиции - чай+сбор","","tapper.tests.e2e._0_4_AddDishInExistOrderTest","openAndCheck","2. Открытие стола, проверка что позиции на кассе совпадают с позициями в таппере",""
"broken","Fri Nov 25 13:06:24 GMT 2022","Fri Nov 25 13:06:24 GMT 2022","163","","keeper - частичная оплата - обычные позиции - без чая + сбор","","tapper.tests.e2e._2_2_PartPayNoTipScTest","openAndCheck","2. Открытие стола, проверка что позиции на кассе совпадают с позициями в таппере",""
"broken","Fri Nov 25 13:07:26 GMT 2022","Fri Nov 25 13:07:26 GMT 2022","1","","keeper - частичная оплата - обычные позиции - без чая и бес сбора","","tapper.tests.e2e._2_3_PartPayNoTipNoScTest","closeOrder","7. Закрываем заказ, очищаем кассу",""
