"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"RKeeper","Полная оплата","Оплата по кнопке 'Оплатить' - -чай -сбор","0","7","1","0","0"
"RKeeper","Официант","Официант верифицирован, без привязанной карты, полная оплата -СБ","0","7","1","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Удаление позиции после частичной оплаты","0","9","2","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Удаление позиции, частичная оплата","0","9","2","0","0"
"RKeeper","Сокеты","Частичная оплата на 1-м устройстве, позиции в статусе 'Оплачиваются', 'Оплачено' на 2-м устройстве","0","12","1","0","0"
"RKeeper","Частичная оплата","Частичная оплата - +чай -сбор","0","8","1","0","0"
"RKeeper","Модификаторы","Платные модификаторы - полная оплата","0","8","0","0","0"
"E2E - тесты (полные)","Общая функциональность таппера","","0","20","1","0","0"
"RKeeper","Модификаторы","Платные модификаторы - частичная оплата","0","9","0","0","0"
"RKeeper","Полная оплата","Оплата по кнопке 'Оплатить' - -чай +сбор","0","7","1","0","0"
"RKeeper","Полная оплата","Выбор всех позиций - +чай +сбор","0","7","1","0","0"
"RKeeper","Официант","Официант не верифицирован, без привязанной карты, полная оплата + СБ","0","7","1","0","0"
"RKeeper","Официант","Официант верифицирован, без привязанной карты, частичная оплата  +СБ","0","8","1","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Добавление позиции после частичной оплаты","0","9","2","0","0"
"RKeeper","Полная оплата","Оплата по кнопке 'Оплатить' - +чай +сбор","0","7","1","0","0"
"RKeeper","Сокеты","Полная оплата на 1-м устройстве, позиции в статусе 'Оплачиваются', 'Оплачено' на 2-м устройстве","0","9","1","0","0"
"RKeeper","Чаевые","Проверка логики установки дефолтных чаевых от суммы заказа, ввод кастомных чаевых, ошибки суммы","0","14","1","0","0"
"E2E - тесты (полные)","keeper - открытие стола у двух гостей, второй гость выбирает и отменяет позиции, у первого не должно быть заблокировано для оплаты","","0","7","1","0","0"
"RKeeper","Частичная оплата","Частичная оплата - -чай +сбор","0","8","1","0","0"
"RKeeper","Частичная оплата","Частичная оплата - +чай +сбор","0","8","1","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Удаление позиции, полная оплата","0","4","2","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Добавление позиции, частичная оплата","0","9","2","0","0"
"RKeeper","Официант","Официант не верифицирован, без привязанной карты, частичная оплата  +СБ","0","8","1","0","0"
"RKeeper","Полная оплата","Оплата по кнопке 'Оплатить' - +чай -сбор","0","7","1","0","0"
"E2E - тесты (полные)","tapper - переход на пустой стол, создание заказа на кассе, появление заказа в таппере","","0","5","1","0","0"
"E2E - тесты (полные)","keeper - частичная и полная оплата - порционная позиция - чай+сбор","","0","7","1","0","0"
"RKeeper","Частичная оплата","Частичная оплата - -чай -сбор","0","8","1","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Добавление и удаление позиции после в одном заказе","0","6","3","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Добавление позиции, полная оплата","0","5","2","0","0"
"RKeeper","Сокеты","Выбор позиций в раздельной оплате на 1-м устройстве, позиции в статусе “Оплачивается” на 2-м устройстве","0","6","1","0","0"
"RKeeper","Официант","Официант не верифицирован, без привязанной карты, полная оплата - СБ","0","7","1","0","0"
"RKeeper","Частичная оплата","Частичная оплата в несколько платежей до конца - +чай +сбор","0","7","1","0","0"
"RKeeper","Официант","Официант верифицирован, без привязанной карты, частичная оплата  -СБ","0","8","1","0","0"
"RKeeper","Официант","Официант не верифицирован, без привязанной карты, частичная оплата  -СБ","0","8","1","0","0"
"RKeeper","Официант","Официант верифицирован, без привязанной карты, полная оплата + СБ","0","7","1","0","0"
