"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Dec 05 12:59:13 GMT 2022","Mon Dec 05 12:59:13 GMT 2022","1","","tapper.tests.keeper_e2e._2_fullPayment._1_4_NoTipsNoScTest","","tapper.tests.keeper_e2e._2_fullPayment._1_4_NoTipsNoScTest","finishOrder","7. Закрываем заказ",""
"broken","Mon Dec 05 13:18:13 GMT 2022","Mon Dec 05 13:18:13 GMT 2022","1","","tapper.tests.keeper_e2e._6_waiter._6_1_VerifiedFullNoCardNoScTest","","tapper.tests.keeper_e2e._6_waiter._6_1_VerifiedFullNoCardNoScTest","checkPayment","6. Проверяем корректность оплаты, проверяем что транзакция в б2п соответствует оплате",""
"broken","Mon Dec 05 13:12:18 GMT 2022","Mon Dec 05 13:12:18 GMT 2022","1","","tapper.tests.keeper_e2e._4_addAndRemoveDishPositions._0_4_6_RemoveAfterPartAndPartTest","","tapper.tests.keeper_e2e._4_addAndRemoveDishPositions._0_4_6_RemoveAfterPartAndPartTest","checkChangedSumAfterAdding","1.9. Пытаемся оплатить и получаем ошибку изменения суммы",""
"broken","Mon Dec 05 13:10:16 GMT 2022","Mon Dec 05 13:10:16 GMT 2022","1","","tapper.tests.keeper_e2e._4_addAndRemoveDishPositions._0_4_4_RemoveAndPartTest","","tapper.tests.keeper_e2e._4_addAndRemoveDishPositions._0_4_4_RemoveAndPartTest","payAndGoToAcquiring","1.8. Переходим на эквайринг, вводим данные, оплачиваем заказ",""
"passed","Mon Dec 05 13:14:15 GMT 2022","Mon Dec 05 13:15:13 GMT 2022","57775","","tapper.tests.keeper_e2e._5_sockets._5_1_PartCheckEveryStatusTest","","tapper.tests.keeper_e2e._5_sockets._5_1_PartCheckEveryStatusTest","createAndFillOrder","1.0. Создание заказа в r_keeper",""
"broken","Mon Dec 05 13:02:41 GMT 2022","Mon Dec 05 13:02:41 GMT 2022","1","","tapper.tests.keeper_e2e._1_partialPayment._2_1_TipsNoScTest","","tapper.tests.keeper_e2e._1_partialPayment._2_1_TipsNoScTest","checkPayment","6. Проверяем корректность оплаты, проверяем что транзакция в б2п соответствует оплате",""
"broken","Mon Dec 05 13:24:48 GMT 2022","Mon Dec 05 13:24:48 GMT 2022","1","","tapper.tests.keeper_e2e._7_modificator._7_0_PaidFullPayTest","","tapper.tests.keeper_e2e._7_modificator._7_0_PaidFullPayTest","finishOrder","7. Закрываем заказ",""
"broken","Mon Dec 05 13:15:15 GMT 2022","Mon Dec 05 13:15:15 GMT 2022","2","","tapper.tests.keeper_e2e._5_sockets._5_1_PartCheckEveryStatusTest","","tapper.tests.keeper_e2e._5_sockets._5_1_PartCheckEveryStatusTest","checkDisabledDishes","1.4. Проверяем что блюда заблокированы",""
"passed","Mon Dec 05 12:52:06 GMT 2022","Mon Dec 05 12:52:13 GMT 2022","6349","","Общая функциональность таппера","","tapper.tests.keeper_e2e._0_common._0_0_AllElementsTest","createAndFillOrder","1.1 Создание заказа в r_keeper",""
"broken","Mon Dec 05 13:25:24 GMT 2022","Mon Dec 05 13:25:24 GMT 2022","0","","tapper.tests.keeper_e2e._7_modificator._7_1_PaidPartPayTest","","tapper.tests.keeper_e2e._7_modificator._7_1_PaidPartPayTest","","_7_1_PaidPartPayTest",""
"passed","Mon Dec 05 12:57:13 GMT 2022","Mon Dec 05 12:58:12 GMT 2022","59786","","tapper.tests.keeper_e2e._2_fullPayment._1_3_NoTipsScTest","","tapper.tests.keeper_e2e._2_fullPayment._1_3_NoTipsScTest","createAndFillOrder","1. Создание заказа в r_keeper",""
"broken","Mon Dec 05 13:00:15 GMT 2022","Mon Dec 05 13:00:15 GMT 2022","0","","tapper.tests.keeper_e2e._2_fullPayment._1_5_ChoseAllDishesTest","","tapper.tests.keeper_e2e._2_fullPayment._1_5_ChoseAllDishesTest","","_1_5_ChoseAllDishesTest",""
"broken","Mon Dec 05 13:21:13 GMT 2022","Mon Dec 05 13:21:13 GMT 2022","160","","tapper.tests.keeper_e2e._6_waiter._6_4_NonVerifiedFullNoCardWithScTest","","tapper.tests.keeper_e2e._6_waiter._6_4_NonVerifiedFullNoCardWithScTest","openAndCheck","2. Открытие стола, проверка что позиции на кассе совпадают с позициями в таппере",""
"broken","Mon Dec 05 13:20:15 GMT 2022","Mon Dec 05 13:20:15 GMT 2022","0","","tapper.tests.keeper_e2e._6_waiter._6_3_VerifiedPartNoCardWithScTest","","tapper.tests.keeper_e2e._6_waiter._6_3_VerifiedPartNoCardWithScTest","","_6_3_VerifiedPartNoCardWithScTest",""
"broken","Mon Dec 05 13:15:13 GMT 2022","Mon Dec 05 13:15:13 GMT 2022","159","","tapper.tests.keeper_e2e._5_sockets._5_1_PartCheckEveryStatusTest","","tapper.tests.keeper_e2e._5_sockets._5_1_PartCheckEveryStatusTest","openAndCheck","1.1. Открытие стола, проверка что позиции на кассе совпадают с позициями в таппере",""
"broken","Mon Dec 05 13:11:16 GMT 2022","Mon Dec 05 13:11:16 GMT 2022","2","","tapper.tests.keeper_e2e._4_addAndRemoveDishPositions._0_4_5_AddAfterPartAndPartTest","","tapper.tests.keeper_e2e._4_addAndRemoveDishPositions._0_4_5_AddAfterPartAndPartTest","checkChangedSumAfterAdding","1.9. Пытаемся оплатить и получаем ошибку изменения суммы",""
"passed","Mon Dec 05 12:55:17 GMT 2022","Mon Dec 05 12:56:12 GMT 2022","54982","","Оплата по кнопке 'Оплатить' - +чай +сбор","","tapper.tests.keeper_e2e._2_fullPayment._1_1_TipsScTest","createAndFillOrder","1. Создание заказа в r_keeper",""
"broken","Mon Dec 05 13:16:13 GMT 2022","Mon Dec 05 13:16:13 GMT 2022","1","","tapper.tests.keeper_e2e._5_sockets._5_2_FullCheckEveryStatusTest","","tapper.tests.keeper_e2e._5_sockets._5_2_FullCheckEveryStatusTest","savePaymentDataAndGoToAcquiring","1.6. Оплачиваем на эквайринге",""
"broken","Mon Dec 05 12:55:17 GMT 2022","Mon Dec 05 12:55:17 GMT 2022","0","","tapper.tests.keeper_e2e._3_tips._0_5_CheckDefaultTipsLogicBySumTest","","tapper.tests.keeper_e2e._3_tips._0_5_CheckDefaultTipsLogicBySumTest","","_0_5_CheckDefaultTipsLogicBySumTest",""
"broken","Mon Dec 05 12:54:12 GMT 2022","Mon Dec 05 12:54:13 GMT 2022","189","","keeper - открытие стола у двух гостей, второй гость выбирает и отменяет позиции, у первого не должно быть заблокировано для оплаты","","tapper.tests.keeper_e2e._0_common._0_7_ChosenDishesAreAvailableInAnotherGuestAfterCancelingTest","openAndCheck","2. Открытие стола, проверка что позиции на кассе совпадают с позициями в таппере",""
"broken","Mon Dec 05 13:03:15 GMT 2022","Mon Dec 05 13:03:15 GMT 2022","2","","tapper.tests.keeper_e2e._1_partialPayment._2_2_NoTipsScTest","","tapper.tests.keeper_e2e._1_partialPayment._2_2_NoTipsScTest","clearDataAndChoseAgain","7. Делимся ссылкой и оплачиваем остальную часть заказа",""
"broken","Mon Dec 05 13:21:13 GMT 2022","Mon Dec 05 13:21:13 GMT 2022","3","","tapper.tests.keeper_e2e._6_waiter._6_4_NonVerifiedFullNoCardWithScTest","","tapper.tests.keeper_e2e._6_waiter._6_4_NonVerifiedFullNoCardWithScTest","checkPayment","6. Проверяем корректность оплаты, проверяем что транзакция в б2п соответствует оплате",""
"broken","Mon Dec 05 12:56:13 GMT 2022","Mon Dec 05 12:56:13 GMT 2022","1","","Оплата по кнопке 'Оплатить' - +чай +сбор","","tapper.tests.keeper_e2e._2_fullPayment._1_1_TipsScTest","checkPayment","6. Проверяем корректность оплаты, проверяем что транзакция в б2п соответствует оплате",""
"broken","Mon Dec 05 13:01:15 GMT 2022","Mon Dec 05 13:01:15 GMT 2022","2","","tapper.tests.keeper_e2e._1_partialPayment._2_0_TipsScTest","","tapper.tests.keeper_e2e._1_partialPayment._2_0_TipsScTest","payAndGoToAcquiring","5. Переходим на эквайринг, вводим данные, оплачиваем заказ",""
