"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Nov 16 08:02:31 GMT 2022","Wed Nov 16 08:02:41 GMT 2022","9542","","keeper - частичная оплата - обычные позиции - чай+сбор - карта - отзыв","","tapper.tests.e2e._2_1_PartPayTipSCTest","checkSumTipsSC","3. Выбираем рандомно блюда, проверяем все суммы и условия, оплачиваем",""
"broken","Fri Nov 18 10:45:54 GMT 2022","Fri Nov 18 10:45:58 GMT 2022","4097","","Общая функциональность таппера","","tapper.tests.e2e._0_0_AllElementsTest","openTable","1.2. Открытие стола",""
"passed","Wed Nov 16 08:02:16 GMT 2022","Wed Nov 16 08:02:31 GMT 2022","15640","","keeper - частичная оплата - обычные позиции - чай+сбор - карта - отзыв","","tapper.tests.e2e._2_1_PartPayTipSCTest","openAndCheck","2. Проверяем работу всех активных элементов на странице, проверка блюд на кассе и в таппере",""
"broken","Fri Nov 18 10:45:59 GMT 2022","Fri Nov 18 10:45:59 GMT 2022","9","","Общая функциональность таппера","","tapper.tests.e2e._0_0_AllElementsTest","isTableEmpty","2.9. Проверяем что стол освободился",""
"broken","Fri Nov 18 10:51:56 GMT 2022","Fri Nov 18 10:51:56 GMT 2022","10","","keeper - частичная оплата - обычные позиции - без чая и бес сбора - карта - отзыв","","tapper.tests.e2e._2_3_PartPayNoTipNoScTest","closeOrder","7. Закрываем заказ, очищаем кассу",""
"passed","Wed Nov 16 08:02:56 GMT 2022","Wed Nov 16 08:02:57 GMT 2022","1085","","keeper - частичная оплата - обычные позиции - чай+сбор - карта - отзыв","","tapper.tests.e2e._2_1_PartPayTipSCTest","reviewCorrect","5. Оставление 5 отзыва с рандомным пожеланием",""
"broken","Fri Nov 18 10:52:56 GMT 2022","Fri Nov 18 10:52:56 GMT 2022","3","","keeper - частичная и полная оплата, разделяя счёт по позиции в 2 заказа - обычные позиции - чай+сбор - карта - отзыв","","tapper.tests.e2e._2_4_PartAndFullPayTipScTest","payAndGoToAcquiring","5. Переходим на эквайринг, вводим данные, оплачиваем заказ",""
"passed","Fri Nov 18 10:40:57 GMT 2022","Fri Nov 18 10:41:00 GMT 2022","3388","","keeper - частичная оплата когда разделили счёт - рандомные поз без скидки - чай+сбор - карта - отзыв","","tapper.tests.e2e._2_7_DivideCheckWith4UsersPartPayAndFull","savePaymentDataForAcquiring","5. Сохраняем данные по оплате для проверки их корректности на эквайринге, и транзакции б2п",""
"passed","Fri Nov 18 10:40:24 GMT 2022","Fri Nov 18 10:40:26 GMT 2022","1635","","keeper - частичная оплата когда разделили счёт - рандомные поз без скидки - чай+сбор - карта - отзыв","","tapper.tests.e2e._2_7_DivideCheckWith4UsersPartPayAndFull","createAndFillOrder","1. Создание заказа в r_keeper",""
"broken","Fri Nov 18 10:45:58 GMT 2022","Fri Nov 18 10:45:58 GMT 2022","44","","Общая функциональность таппера","","tapper.tests.e2e._0_0_AllElementsTest","isKeeperOrderCorrectWithTapper","1.3. Проверяем что позиции заказа на кассе совпадают с позициями на столе после создания",""
