"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"E2E - тесты (полные)","keeper - частичная оплата - обычные позиции - чай+сбор - карта - отзыв","","2","6","6","0","0"
"E2E - тесты (полные)","Общая функциональность таппера","","0","17","1","1","0"
"E2E - тесты (полные)","keeper - частичная оплата - обычные позиции - без чая и без сбора - карта - отзыв","","0","6","2","0","0"
"E2E - тесты (полные)","keeper - частичная и полная оплата, разделяя счёт по позиции в 2 заказа - обычные позиции - чай+сбор - карта - отзыв","","0","6","3","0","0"
"E2E - тесты (полные)","keeper - частичная оплата когда разделили счёт - рандомные поз без скидки - чай+сбор - карта - отзыв","","2","7","7","0","0"
"E2E - тесты (полные)","keeper - частичная оплата - обычные позиции - без чая + сбор - карта - отзыв","","0","6","2","0","0"
"E2E - тесты (полные)","keeper - полная оплата по кнопке 'Оплатить' - обычные позиции - чай+сбор - карта - отзыв","","0","6","2","0","0"
"E2E - тесты (полные)","keeper - частичная и полная оплата - порционная позиция - чай+сбор - карта - отзыв","","1","0","8","0","0"
"Debug","","","0","0","3","3","0"
"E2E - тесты (полные)","keeper - частичная оплата, делимся ссылкой, оплачиваем всё - обычные позиции - чай+сбор","","0","7","1","0","0"
"E2E - тесты (полные)","keeper - оплата, разделяя счёт по позиции до самого конца - рандомные поз без скидки - чай+сбор - карта","","0","6","1","0","0"
"E2E - тесты (полные)","keeper - полная оплата - поз без скидки - чай+сбор - карта - отзыв","","0","0","1","0","0"
