"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 14 18:33:34 GMT 2022","Mon Nov 14 18:33:40 GMT 2022","5597","","keeper - полная оплата - поз без скидки - чай+сбор - карта - отзыв","","tapper.tests.e2e.FullPayTest","createAndFillOrder","Создание заказа в r_keeper",""
"passed","Mon Nov 14 18:34:04 GMT 2022","Mon Nov 14 18:34:15 GMT 2022","11207","","keeper - полная оплата - поз без скидки - чай+сбор - карта - отзыв","","tapper.tests.e2e.FullPayTest","payAndGoToAcquiring","Переход на эквайринг, ввод данных, оплата",""
"passed","Mon Nov 14 18:34:15 GMT 2022","Mon Nov 14 18:34:21 GMT 2022","5846","","keeper - полная оплата - поз без скидки - чай+сбор - карта - отзыв","","tapper.tests.e2e.FullPayTest","paymentCorrect","Проверка что оплата полностью корректна, все статусы о транзакции поочередно исполняются",""
"passed","Mon Nov 14 18:33:56 GMT 2022","Mon Nov 14 18:34:04 GMT 2022","8160","","keeper - полная оплата - поз без скидки - чай+сбор - карта - отзыв","","tapper.tests.e2e.FullPayTest","checkSumTipsSC","Проверка суммы, чаевых, сервисного сбора, оплачиваем все позиции",""
"failed","Mon Nov 14 18:33:40 GMT 2022","Mon Nov 14 18:33:56 GMT 2022","16245","","keeper - полная оплата - поз без скидки - чай+сбор - карта - отзыв","","tapper.tests.e2e.FullPayTest","openAndCheck","Проверяем работу всех активных элементов на странице, проверка блюд на кассе и в таппере",""
"passed","Mon Nov 14 18:34:21 GMT 2022","Mon Nov 14 18:34:23 GMT 2022","1381","","keeper - полная оплата - поз без скидки - чай+сбор - карта - отзыв","","tapper.tests.e2e.FullPayTest","reviewCorrect","Оставление 5 отзыва с рандомным пожеланием",""
