"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Dec 26 05:29:09 GMT 2022","Mon Dec 26 05:29:09 GMT 2022","3","","keeper - проверка что установленные чаевые у одного юзера не сбросятся если другой юзер будет выбирать позиции","","tapper.tests.keeper_e2e._0_common._0_5_NotChangingTipsInAnotherUserTest","finishOrder","2.1. Закрываем заказ",""
"broken","Mon Dec 26 05:25:58 GMT 2022","Mon Dec 26 05:25:58 GMT 2022","8","","tapper - переход на пустой стол, создание заказа на кассе, появление заказа в таппере","","tapper.tests.keeper_e2e._0_common._0_1_TapperOrderAppearsWhenCreatedInKeeperTest","checkSumTipsSC","3. Проверка суммы, чаевых, сервисного сбора",""
"broken","Mon Dec 26 05:48:59 GMT 2022","Mon Dec 26 05:48:59 GMT 2022","1","","tapper.tests.keeper_e2e._5_sockets._5_1_PartCheckEveryStatusTest","","tapper.tests.keeper_e2e._5_sockets._5_1_PartCheckEveryStatusTest","switchBackTo1Guest","1.5. Переключаемся на первого гостя",""
"broken","Mon Dec 26 05:58:07 GMT 2022","Mon Dec 26 05:58:07 GMT 2022","1","","tapper.tests.keeper_e2e._8_discount._8_0_FullPayTest","","tapper.tests.keeper_e2e._8_discount._8_0_FullPayTest","checkSumTipsSC","3. Проверка суммы, чаевых, сервисного сбора, скидку",""
"broken","Mon Dec 26 05:43:01 GMT 2022","Mon Dec 26 05:43:01 GMT 2022","1","","tapper.tests.keeper_e2e._4_addAndRemoveDishPositions._0_4_3_AddAndPartTest","","tapper.tests.keeper_e2e._4_addAndRemoveDishPositions._0_4_3_AddAndPartTest","checkPayment","1.9. Проверяем корректность оплаты, проверяем что транзакция в б2п соответствует оплате",""
"broken","Mon Dec 26 05:58:18 GMT 2022","Mon Dec 26 05:58:18 GMT 2022","1","","Проверка профиля, редактирование полей, смена пароля","","tapper.tests.admin_personal_account.profile._13_0_TotalTest","goToMenu","1.2. Переход на страницу профиля, проверка всех элементов",""
"broken","Mon Dec 26 05:46:02 GMT 2022","Mon Dec 26 05:46:02 GMT 2022","2","","tapper.tests.keeper_e2e._4_addAndRemoveDishPositions._0_4_6_RemoveAfterPartAndPartTest","","tapper.tests.keeper_e2e._4_addAndRemoveDishPositions._0_4_6_RemoveAfterPartAndPartTest","closeOrder","2.0. Закрываем заказ, очищаем кассу",""
"broken","Mon Dec 26 05:58:10 GMT 2022","Mon Dec 26 05:58:10 GMT 2022","1","","tapper.tests.keeper_e2e._8_discount._8_2_PartPayRemoveDiscountTest","","tapper.tests.keeper_e2e._8_discount._8_2_PartPayRemoveDiscountTest","payAndGoToAcquiringAfterAddedDiscount","1.8. Переходим на эквайринг, вводим данные, оплачиваем заказ",""
"passed","Mon Dec 26 05:58:16 GMT 2022","Mon Dec 26 05:58:16 GMT 2022","10","","Проверка поиска по столам, детальной карточки, qr-кода","","tapper.tests.admin_personal_account.tables_and_qr_codes._10_0_TotalTest","isDownloadedQrCorrect","2.2. Проверка что скаченный код корректен",""
"broken","Mon Dec 26 05:41:59 GMT 2022","Mon Dec 26 05:41:59 GMT 2022","2","","tapper.tests.keeper_e2e._4_addAndRemoveDishPositions._0_4_2_RemoveAndFullTest","","tapper.tests.keeper_e2e._4_addAndRemoveDishPositions._0_4_2_RemoveAndFullTest","checkChangedSumAfterDeleting","7. Пытаемся снова оплатить и получаем ошибку изменения суммы",""
