"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 17 13:30:15 GMT 2023","Fri Feb 17 13:30:19 GMT 2023","3578","","tapper - проверка сообщений вызова официанта при пустом столе и в заказе","","tapper.tests.keeper_e2e._0_common._0_9_CheckCallWaiterTgMsgTest","createAndFillOrder","5. Создание заказа в r_keeper",""
"passed","Fri Feb 17 13:43:13 GMT 2023","Fri Feb 17 13:43:13 GMT 2023","174","","Проверка категории Недоступность кассы","","tapper.tests.support_personal_account.cash_desk_inaccessibility._22_0_TotalTest","choseDateAndDownloadTable","1.4. Выбираем дату для выгрузки отчёта",""
"passed","Fri Feb 17 13:30:26 GMT 2023","Fri Feb 17 13:30:29 GMT 2023","3168","","Частичная оплата на 1одном устройстве, и оплата оставшихся позиций на втором устройстве. У обоих должен быть пустой стол по окончанию","","tapper.tests.keeper_e2e._5_sockets._5_6_PartAndFullPayTwoGuestTest","createAndFillOrder","1.1. Создание заказа в r_keeper и открытие стола, проверка что позиции на кассе совпадают с позициями в таппере",""
"broken","Fri Feb 17 14:09:30 GMT 2023","Fri Feb 17 14:09:34 GMT 2023","3709","","Все вариации модификаторов. Частичная оплата без чаевых","","tapper.tests.keeper_e2e._7_modificator._8_0_BigPartPayTest","createAndFillOrder","1. Создание заказа в r_keeper и открытие стола, проверка что позиции на кассе совпадают с позициями в таппере",""
"passed","Fri Feb 17 14:07:01 GMT 2023","Fri Feb 17 14:07:10 GMT 2023","8334","","Частичная оплата с сервисным сбором","","tapper.tests.keeper_e2e._7_modificator._7_3_PartPayScTest","closeOrderByAPI","8. Закрываем заказ",""
"passed","Fri Feb 17 13:22:39 GMT 2023","Fri Feb 17 13:22:44 GMT 2023","4392","","Открытие стола у двух гостей, второй гость выбирает и отменяет позиции у первого не должно быть заблокировано для оплаты","","tapper.tests.keeper_e2e._5_sockets._4_9_ChosenDishesAreAvailableInAnotherGuestAfterCancelingTest","cancelCertainAmountChosenDishes","4. Отменяем их",""
"passed","Fri Feb 17 13:36:53 GMT 2023","Fri Feb 17 13:37:08 GMT 2023","15426","","Отвязка и привязка карты официанта","","tapper.tests.waiter_personal_account._14_1_UnlinkLinkWaiterCardTest","unlinkMailWaiter","1.7. Отвязываем почту официанта админом ресторана",""
"passed","Fri Feb 17 13:34:54 GMT 2023","Fri Feb 17 13:35:07 GMT 2023","12685","","Проверка таба Официанты","","tapper.tests.support_personal_account.logs_and_permissions._14_0_WaitersTabTest","authorizeUser","1.1. Авторизация под администратором в личном кабинете",""
"passed","Fri Feb 17 13:39:33 GMT 2023","Fri Feb 17 13:39:53 GMT 2023","20451","","Проверка вайфая","","tapper.tests.admin_personal_account.customization._15_1_wiFiTest","setMsgAsTextPattern","1.5. Переходим на стол, проверяем что есть функционал вайфая, его поля и что данные совпадают с админкой",""
"passed","Fri Feb 17 13:28:50 GMT 2023","Fri Feb 17 13:29:04 GMT 2023","13475","","Загрузка, удаление фотографии","","tapper.tests.admin_personal_account.menu._11_3_uploadAndDeleteImageDishTest","authorizeUser","1.1. Авторизация под администратором в личном кабинете",""
"broken","Fri Feb 17 14:07:30 GMT 2023","Fri Feb 17 14:07:30 GMT 2023","0","","Частичная оплата с сервисным сбором","","tapper.tests.keeper_e2e._7_modificator._7_4_PartPayNoScTest","","Частичная оплата с сервисным сбором",""
"passed","Fri Feb 17 13:24:19 GMT 2023","Fri Feb 17 13:24:29 GMT 2023","10087","","Приглашение на один и тот же e-mail, который уже занят у официанта","","tapper.tests.admin_personal_account.waiters._9_1_ErrorWithTheSameMailTest","authorizeUser","1.1. Авторизация под администратором в личном кабинете",""
"passed","Fri Feb 17 13:43:37 GMT 2023","Fri Feb 17 13:44:07 GMT 2023","30606","","Проверка категории Рассылка","","tapper.tests.support_personal_account.sending._21_0_TotalTest","checkMsgInTgToAll","1.4. Проверяем сообщение в телеграмме",""
"passed","Fri Feb 17 13:50:00 GMT 2023","Fri Feb 17 13:50:03 GMT 2023","3173","","Одновременная частичная  оплата с 4х устройств ","","tapper.tests.keeper_e2e._5_sockets._6_3_PartCheckEveryStatusFourGuestsTest","savePaymentData3Guest","2.9. Сохраняем платежную информацию для эквайринга и тг",""
"passed","Fri Feb 17 13:34:30 GMT 2023","Fri Feb 17 13:34:34 GMT 2023","3518","","Частичная оплата с 1-го устройства с комиссией со 2-го без комиссии","","tapper.tests.keeper_e2e._5_sockets._6_1_PartNoScAndFullScPayTwoGuestTest","switchBackTo1Guest","1.5. Переключаемся на первого гостя, сохраняем платежные данные",""
"passed","Fri Feb 17 13:55:37 GMT 2023","Fri Feb 17 13:55:37 GMT 2023","21","","Официант не верифицирован, без привязанной карты, частичная оплата  +СБ","","tapper.tests.keeper_e2e._6_waiter._6_7_NonVerifiedPartNoCardScTest","activateServiceChargeIfDeactivated","3. Включаем сервисный сбор",""
"passed","Fri Feb 17 13:25:40 GMT 2023","Fri Feb 17 13:25:49 GMT 2023","8918","","Полная оплата на 1-м устройстве, позиции в статусе 'Оплачиваются', и затем пустой стол у второго устройства","","tapper.tests.keeper_e2e._5_sockets._5_2_FullCheckEveryStatusTest","chooseDishesAndCheckAfterDivided","1.3. Выбираем рандомно блюда, проверяем все суммы и условия",""
"passed","Fri Feb 17 13:36:32 GMT 2023","Fri Feb 17 13:36:40 GMT 2023","8088","","Частичная оплата - +чай +сбор","","tapper.tests.keeper_e2e._2_partialPayment._2_0_TipsScTest","payAndGoToAcquiring","4. Переходим на эквайринг, вводим данные, оплачиваем заказ",""
