"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jan 20 11:30:08 GMT 2023","Fri Jan 20 11:30:08 GMT 2023","10","","tapper - проверка сообщений вызова официанта при пустом столе и в заказе","","tapper.tests.keeper_e2e._0_common._0_9_checkCallWaiterTgMsgTest","getTgAndTapperMsgData","3. Сбор данных со стола и сообщения тг",""
"broken","Fri Jan 20 11:29:32 GMT 2023","Fri Jan 20 11:29:36 GMT 2023","4287","","tapper - переход на пустой стол, создание заказа на кассе, появление заказа в таппере","","tapper.tests.keeper_e2e._0_common._0_0_TapperOrderAppearsWhenCreatedInKeeperTest","openAndCheck","1. Открытие стола",""
"broken","Fri Jan 20 11:29:59 GMT 2023","Fri Jan 20 11:30:07 GMT 2023","8375","","tapper - переход на пустой стол, создание заказа на кассе, появление заказа в таппере","","tapper.tests.keeper_e2e._0_common._0_0_TapperOrderAppearsWhenCreatedInKeeperTest","finishOrder","5. Закрываем заказ",""
"failed","Fri Jan 20 11:30:08 GMT 2023","Fri Jan 20 11:30:08 GMT 2023","12","","tapper - проверка сообщений вызова официанта при пустом столе и в заказе","","tapper.tests.keeper_e2e._0_common._0_9_checkCallWaiterTgMsgTest","matchTgMsgDataAndTapperData","4. Проверка что сообщение корректное",""
"broken","Fri Jan 20 11:29:59 GMT 2023","Fri Jan 20 11:29:59 GMT 2023","215","","tapper - переход на пустой стол, создание заказа на кассе, появление заказа в таппере","","tapper.tests.keeper_e2e._0_common._0_0_TapperOrderAppearsWhenCreatedInKeeperTest","refreshAndCheck","3. Открытие стола, проверка что позиции на кассе совпадают с позициями в таппере",""
"broken","Fri Jan 20 11:29:36 GMT 2023","Fri Jan 20 11:29:59 GMT 2023","22093","","tapper - переход на пустой стол, создание заказа на кассе, появление заказа в таппере","","tapper.tests.keeper_e2e._0_common._0_0_TapperOrderAppearsWhenCreatedInKeeperTest","createAndFillOrder","2. Создание заказа в r_keeper",""
"broken","Fri Jan 20 11:30:08 GMT 2023","Fri Jan 20 11:30:08 GMT 2023","19","","tapper - проверка сообщений вызова официанта при пустом столе и в заказе","","tapper.tests.keeper_e2e._0_common._0_9_checkCallWaiterTgMsgTest","sendCallWaiter","2. Отправка сообщения в вызов официанта",""
"broken","Fri Jan 20 11:30:07 GMT 2023","Fri Jan 20 11:30:08 GMT 2023","323","","tapper - проверка сообщений вызова официанта при пустом столе и в заказе","","tapper.tests.keeper_e2e._0_common._0_9_checkCallWaiterTgMsgTest","openAndCheck","1. Открытие стола",""
"broken","Fri Jan 20 11:29:59 GMT 2023","Fri Jan 20 11:29:59 GMT 2023","121","","tapper - переход на пустой стол, создание заказа на кассе, появление заказа в таппере","","tapper.tests.keeper_e2e._0_common._0_0_TapperOrderAppearsWhenCreatedInKeeperTest","checkSumTipsSC","4. Проверка суммы, чаевых, сервисного сбора",""
