"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Поиск по категориям с камнями","Поиск по запросу изделий с камнями","","0","0","10","0","0"
"Поиск по главным категориям изделий","","","0","0","1","0","0"
"Поиск по камням","","","1","0","54","0","0"
"Поиск по коллекциям","","","0","0","49","0","0"
"Поиск по главным категориям изделий","Проверка по имени ключевых категорий изделий","","1","0","12","0","0"
"Каталог","","","0","0","2","0","0"
"Debug","","","0","0","1","1","0"
"Поиск в шапке","","","0","0","8","0","0"
"Поиск по категориям с камнями","","","0","0","1","0","0"
