"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 18 11:29:32 GMT 2022","Fri Nov 18 11:29:43 GMT 2022","10951","","keeper - частичная оплата - обычные позиции - без чая и бес сбора","","tapper.tests.e2e._2_3_PartPayNoTipNoScTest","checkSumTipsSC","3. Выбираем рандомно блюда, проверяем все суммы и условия, оплачиваем",""
"passed","Fri Nov 18 11:29:49 GMT 2022","Fri Nov 18 11:29:56 GMT 2022","6992","","keeper - частичная оплата - обычные позиции - без чая и бес сбора","","tapper.tests.e2e._2_3_PartPayNoTipNoScTest","payAndGoToAcquiring","5. Переходим на эквайринг, вводим данные, оплачиваем заказ",""
"passed","Fri Nov 18 11:24:14 GMT 2022","Fri Nov 18 11:24:26 GMT 2022","11661","","keeper - полная оплата по кнопке 'Оплатить' - обычные позиции - чай+сбор - карта - отзыв","","tapper.tests.e2e._1_1_FullPayTest","checkSumTipsSC","3. Проверка суммы, чаевых, сервисного сбора",""
"failed","Fri Nov 18 11:31:12 GMT 2022","Fri Nov 18 11:31:22 GMT 2022","10195","","keeper - частичная и полная оплата, разделяя счёт по позиции в 2 заказа - обычные позиции - чай+сбор","","tapper.tests.e2e._2_4_PartAndFullPayTipScTest","checkPayment","6. Проверяем корректность оплаты, проверяем что транзакция в б2п соответствует оплате",""
"passed","Fri Nov 18 11:27:45 GMT 2022","Fri Nov 18 11:27:53 GMT 2022","8019","","keeper - частичная оплата - обычные позиции - чай+сбор - карта","","tapper.tests.e2e._2_1_PartPayTipSсTest","checkPayment","6. Проверяем корректность оплаты, проверяем что транзакция в б2п соответствует оплате",""
"passed","Fri Nov 18 11:22:48 GMT 2022","Fri Nov 18 11:22:49 GMT 2022","1150","","Общая функциональность таппера","","tapper.tests.e2e._0_0_AllElementsTest","isDishListNotEmptyAndVisible","1.5. Проверяем что стол не пустой и содержит заказ",""
"passed","Fri Nov 18 11:30:42 GMT 2022","Fri Nov 18 11:30:56 GMT 2022","13402","","keeper - частичная и полная оплата, разделяя счёт по позиции в 2 заказа - обычные позиции - чай+сбор","","tapper.tests.e2e._2_4_PartAndFullPayTipScTest","chooseDishesAndCheckAfterDivided","3. Выбираем рандомно блюда, проверяем все суммы и условия, проверяем что после шаринга выбранные позиции в ожидаются",""
"failed","Fri Nov 18 11:25:44 GMT 2022","Fri Nov 18 11:25:48 GMT 2022","4345","","keeper - оплата, разделяя счёт по позиции до самого конца - обычные - чай+сбор","","tapper.tests.e2e._1_2_DivideAndPayTillEndTest","payAndGoToAcquiring","5. Переходим на эквайринг, вводим данные, оплачиваем заказ",""
"failed","Fri Nov 18 11:30:30 GMT 2022","Fri Nov 18 11:30:42 GMT 2022","11752","","keeper - частичная и полная оплата, разделяя счёт по позиции в 2 заказа - обычные позиции - чай+сбор","","tapper.tests.e2e._2_4_PartAndFullPayTipScTest","openAndCheck","2. Проверяем работу всех активных элементов на странице, проверка блюд на кассе и в таппере",""
"passed","Fri Nov 18 11:24:58 GMT 2022","Fri Nov 18 11:25:00 GMT 2022","2842","","keeper - оплата, разделяя счёт по позиции до самого конца - обычные - чай+сбор","","tapper.tests.e2e._1_2_DivideAndPayTillEndTest","createAndFillOrder","1. Создание заказа в r_keeper",""
"failed","Fri Nov 18 11:25:01 GMT 2022","Fri Nov 18 11:25:18 GMT 2022","17622","","keeper - оплата, разделяя счёт по позиции до самого конца - обычные - чай+сбор","","tapper.tests.e2e._1_2_DivideAndPayTillEndTest","openAndCheck","2. Проверяем работу всех активных элементов на странице",""
"passed","Fri Nov 18 11:23:06 GMT 2022","Fri Nov 18 11:23:08 GMT 2022","1484","","Общая функциональность таппера","","tapper.tests.e2e._0_0_AllElementsTest","isTapBarShown","2.4. Проверяем что нижнее навигационное меню есть, корректно работает меню, переходы по табам",""
"failed","Fri Nov 18 11:31:22 GMT 2022","Fri Nov 18 11:31:44 GMT 2022","21723","","keeper - частичная и полная оплата, разделяя счёт по позиции в 2 заказа - обычные позиции - чай+сбор","","tapper.tests.e2e._2_4_PartAndFullPayTipScTest","payTillEnd","7. Разделяем счёт, оплачиваем оставшиеся позиции",""
"failed","Fri Nov 18 11:32:44 GMT 2022","Fri Nov 18 11:32:48 GMT 2022","4110","","keeper - частичная оплата когда разделили счёт - рандомные поз без скидки - чай+сбор","","tapper.tests.e2e._2_6_DivideCheckAndPartPayTest","closeOrder","8. Закрываем заказ, очищаем кассу",""
