"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Feb 03 13:07:15 GMT 2023","Fri Feb 03 13:07:15 GMT 2023","2","","Проверка переключения типу получателя, замена шаблона, проверка на столе","","tapper.tests.admin_personal_account.customization._15_0_TotalTest","setMsgAsTextPattern","1.4. Изменение шаблона отправки текста в админке",""
"broken","Fri Feb 03 13:07:01 GMT 2023","Fri Feb 03 13:07:01 GMT 2023","2","","Проверка категории логов/доступы, отображения элементов, всех табов на странице","","tapper.tests.support_personal_account.logs_and_permissions._13_0_TotalTest","goToAcquiringTab","1.8. Переход и проверка элементов в разделе Эквайринг",""
"broken","Fri Feb 03 13:07:01 GMT 2023","Fri Feb 03 13:07:01 GMT 2023","2","","Проверка категории логов/доступы, отображения элементов, всех табов на странице","","tapper.tests.support_personal_account.logs_and_permissions._13_0_TotalTest","goToCashDeskTab","1.6. Переход и проверка элементов в разделе r-keeper/iiko",""
"broken","Fri Feb 03 13:06:59 GMT 2023","Fri Feb 03 13:06:59 GMT 2023","32","","Смена имени категории и позиции, проверка на столе","","tapper.tests.admin_personal_account.menu._11_1_ChangeCategoryAndDishesTest","editDishName","1.5. Редактируем имя позиции",""
"broken","Fri Feb 03 13:07:00 GMT 2023","Fri Feb 03 13:07:00 GMT 2023","2","","Проверка профиля, редактирование полей, смена пароля","","tapper.tests.admin_personal_account.profile._13_0_TotalTest","goToMenu","1.2. Переход на страницу профиля, проверка всех элементов",""
"failed","Fri Feb 03 13:07:20 GMT 2023","Fri Feb 03 13:07:20 GMT 2023","5","","Проверка таба Столы","","tapper.tests.support_personal_account.logs_and_permissions._15_0_TablesTabTest","isDownloadedQrCorrect","2.5. Проверка что скаченный код корректен",""
"broken","Fri Feb 03 13:07:14 GMT 2023","Fri Feb 03 13:07:15 GMT 2023","186","","Отвязка и привязка карты официанта","","tapper.tests.waiter_personal_account._14_1_UnlinkLinkWaiterCardTest","authorizeUser","1.0. Авторизуемся под админом",""
"broken","Fri Feb 03 13:07:03 GMT 2023","Fri Feb 03 13:07:03 GMT 2023","2","","Проверка всех элементов, смены имени, телеграмма, пароля, загрузка изображений, сверка со столом","","tapper.tests.waiter_personal_account._14_0_TotalTest","isDeletedImageCorrectOnTable","1.6. Проверка удаленной фотографии на столе",""
"broken","Fri Feb 03 13:07:20 GMT 2023","Fri Feb 03 13:07:20 GMT 2023","184","","Проверка что все элементы отображаются корректно","","tapper.tests.admin_personal_account.integrations._16_0_TotalTest","authorizeUser","1.1. Авторизация под администратором в личном кабинете",""
"broken","Fri Feb 03 13:07:00 GMT 2023","Fri Feb 03 13:07:00 GMT 2023","2","","Проверка профиля, редактирование полей, смена пароля","","tapper.tests.admin_personal_account.profile._13_0_TotalTest","deleteTelegramLogin","1.4. Удаление логина телеграмма и добавление",""
"broken","Fri Feb 03 13:07:20 GMT 2023","Fri Feb 03 13:07:20 GMT 2023","1","","Проверка что все элементы отображаются корректно","","tapper.tests.admin_personal_account.integrations._16_0_TotalTest","goToIntegrationCategory","1.2. Переход на страницу интеграций, проверка всех элементов",""
"broken","Fri Feb 03 13:07:22 GMT 2023","Fri Feb 03 13:07:22 GMT 2023","269","","Заглушаем только один ресторан, но через поиск, и проверяем все вариации заглушки","","tapper.tests.support_personal_account.lock._20_0_CertainRestaurantBySearchTest","authorizeUser","1.1. Авторизация в аккаунте техподдержке",""
"broken","Fri Feb 03 13:06:58 GMT 2023","Fri Feb 03 13:06:58 GMT 2023","4","","Проверка поиска по столам, детальной карточки, qr-кода","","tapper.tests.admin_personal_account.tables_and_qr_codes._10_0_TotalTest","goToDetailCard","1.8. Переход в детальную карточку стола и проверка элементов",""
