"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Mar 03 13:33:22 GMT 2023","Fri Mar 03 13:33:22 GMT 2023","4","","Общая функциональность таппера","","tapper.tests.keeper_e2e._0_common._0_1_AllElementsTest","isKeeperOrderCorrectWithTapper","1.4. Проверяем анимацию\картинку при загрузке стола",""
"broken","Fri Mar 03 17:53:30 GMT 2023","Fri Mar 03 17:53:30 GMT 2023","7","","Заглушаем только один ресторан, но через поиск, и проверяем все вариации заглушки","","tapper.tests.support_personal_account.lock._20_0_CertainRestaurantBySearchTest","choseOnlyCertainRestaurantsBySearch","1.3. Выбираем определенный ресторан по чекбоксу из всего списка",""
"broken","Fri Mar 03 13:38:14 GMT 2023","Fri Mar 03 13:38:14 GMT 2023","0","","Частичная оплата - -чай +сбор","","tapper.tests.keeper_e2e._2_partialPayment._2_2_NoTipsScTest","","Частичная оплата - -чай +сбор",""
"broken","Fri Mar 03 17:52:39 GMT 2023","Fri Mar 03 17:52:39 GMT 2023","4","","Отвязка и привязка карты официанта","","tapper.tests.waiter_personal_account._14_1_UnlinkLinkWaiterCardTest","checkWaiterStatus","1.2. Проверка смены статуса верификации",""
"broken","Fri Mar 03 17:51:59 GMT 2023","Fri Mar 03 17:51:59 GMT 2023","1","","Проверка поиска по столам, детальной карточки, qr-кода","","tapper.tests.admin_personal_account.tables_and_qr_codes._10_0_TotalTest","readQrCode","2.3. Чтение qr-кода",""
"broken","Fri Mar 03 13:35:58 GMT 2023","Fri Mar 03 13:35:58 GMT 2023","2","","Оплата по кнопке 'Оплатить' - +чай +сбор","","tapper.tests.keeper_e2e._1_fullPayment._1_1_TipsScTest","payAndGoToAcquiring","4. Переходим на эквайринг, вводим данные, оплачиваем заказ",""
"broken","Fri Mar 03 14:45:48 GMT 2023","Fri Mar 03 15:05:48 GMT 2023","1200136","","Одновременная частичная оплата с 2х устройств","","tapper.tests.keeper_e2e._5_sockets._5_5_SimultaneouslyTwoGuestPartPayTest","clearDataAndChoseAgain","2.5. Проверка сообщения в телеграмме",""
"broken","Fri Mar 03 13:33:13 GMT 2023","Fri Mar 03 13:33:13 GMT 2023","12","","Удаление позиции, полная оплата","","tapper.tests.keeper_e2e._4_addAndRemoveDishPositions._0_4_2_RemoveAndFullTest","savePaymentDataForAcquiring","4. Сохраняем данные по оплате для проверки их корректности на эквайринге, и транзакции б2п",""
"broken","Fri Mar 03 13:34:43 GMT 2023","Fri Mar 03 13:34:43 GMT 2023","12","","Проверка логики установки дефолтных чаевых от суммы заказа, ввод кастомных чаевых, ошибки суммы","","tapper.tests.keeper_e2e._3_tips._0_5_CheckDefaultTipsLogicBySumTest","setScAndCheckTipsWith2ndOption","1.4. Проверяем вторую опцию чаевых",""
"failed","Fri Mar 03 16:13:28 GMT 2023","Fri Mar 03 16:13:58 GMT 2023","30380","","Частичная оплата с 1-го устройства с комиссией со 2-го без комиссии","","tapper.tests.keeper_e2e._5_sockets._6_1_PartNoScAndFullScPayTwoGuestTest","checkPayment2Guest","2.2. Проверяем корректность оплаты, проверяем что транзакция в б2п соответствует оплате",""
"broken","Fri Mar 03 17:12:21 GMT 2023","Fri Mar 03 17:12:21 GMT 2023","7","","Уменьшение скидки (Полной)","","tapper.tests.keeper_e2e._8_discount._8_6_ReduceDiscountTest","checkPayment","7. Проверяем корректность оплаты, проверяем что транзакция в б2п соответствует оплате",""
"passed","Fri Mar 03 13:36:25 GMT 2023","Fri Mar 03 13:36:35 GMT 2023","10130","","Открытие стола у двух гостей, первый гость уходит в оплату, у второго должны быть блюда заблокированы."" +
        ""После первый гость выходит из оплаты, и у второго они должны разблокироваться","","tapper.tests.keeper_e2e._5_sockets._5_0_DisabledDishesWhenInPaymentTest","openTables","2. Открываем стол на двух разных устройствах, проверяем что не пустые",""
"passed","Fri Mar 03 14:02:27 GMT 2023","Fri Mar 03 14:02:31 GMT 2023","4473","","Частичная оплата на 1одном устройстве, и проверка этих позиций на другом, затем полная оплата с проверками статусов у второго","","tapper.tests.keeper_e2e._5_sockets._5_4_PartAndFullPayCheckEveryStatusTest","checkDisabledDishes","1.4. Проверяем что у него блюда в статусе Оплачиваются, которые первый гость выбрал",""
"broken","Fri Mar 03 14:19:29 GMT 2023","Fri Mar 03 14:19:43 GMT 2023","13351","","Частичная оплата без сервисного сбора","","tapper.tests.keeper_e2e._7_modificator._7_4_PartPayNoScTest","closeOrderByAPI","8. Закрываем заказ",""
"broken","Fri Mar 03 17:52:39 GMT 2023","Fri Mar 03 17:52:39 GMT 2023","1","","Отвязка и привязка карты официанта","","tapper.tests.waiter_personal_account._14_1_UnlinkLinkWaiterCardTest","goToAuthTapperPage","1.5. Переход на авторизацию из письма в приглашении с присланными данными и авторизация",""
"passed","Fri Mar 03 15:29:14 GMT 2023","Fri Mar 03 15:29:22 GMT 2023","8304","","Частичная оплата с 1-го устройства и полная со 2-го устройства  без сервисного сбора","","tapper.tests.keeper_e2e._5_sockets._5_7_PartAndFullPayTwoGuestNoSCTest","chooseDishesAndCheckAfterDivided","1.3. Выбираем рандомно блюда у первого гостя, сохраняем данные для след.теста. Отключаем сервисный сбор",""
"broken","Fri Mar 03 18:36:40 GMT 2023","Fri Mar 03 18:36:40 GMT 2023","4","","Удаление скидки когда осталась одна позиция ","","tapper.tests.keeper_e2e._8_discount._9_2_RemoveDiscountWhenOneDishInOrderTest","payAndGoToAcquiring","1.4. Переходим на эквайринг, вводим данные, оплачиваем заказ",""
"passed","Fri Mar 03 17:24:21 GMT 2023","Fri Mar 03 17:24:25 GMT 2023","3394","","Частичная оплата с 1-го устройства и полная со 2-го устройства c чаевыми","","tapper.tests.keeper_e2e._5_sockets._6_0_PartAndFullPayTwoGuestTipsTest","switchBackTo1Guest","1.5. Переключаемся на первого гостя, сохраняем платежные данные",""
"broken","Fri Mar 03 13:34:22 GMT 2023","Fri Mar 03 13:34:22 GMT 2023","4","","Большой счёт,частичная оплата в несколько платежей до конца - +чай +сбор","","tapper.tests.keeper_e2e._0_common._0_5_BigPartPayTillEndTest","payAndGoToAcquiring","5. Переходим на эквайринг, вводим данные, оплачиваем заказ",""
"broken","Fri Mar 03 13:33:01 GMT 2023","Fri Mar 03 13:33:01 GMT 2023","12","","tapper - переход на пустой стол, создание заказа на кассе, появление заказа в таппере","","tapper.tests.keeper_e2e._0_common._0_0_TapperOrderAppearsWhenCreatedInKeeperTest","isOrderInKeeperCorrectWithTapper","5. Проверяем что позиции на кассе совпадают с позициями в таппере",""
"passed","Fri Mar 03 16:06:16 GMT 2023","Fri Mar 03 16:06:34 GMT 2023","18574","","Частичная оплата позиций с модификаторами с 1-го устройства и полная оплата со 2-го","","tapper.tests.keeper_e2e._7_modificator._8_3_PartAndFullPayTwoGuestTest","createAndFillOrder","1.1. Создание заказа в r_keeper и открытие стола, проверка что позиции на кассе совпадают с позициями в таппере",""
"broken","Fri Mar 03 18:57:36 GMT 2023","Fri Mar 03 18:57:36 GMT 2023","0","","Добавление позиций к заказу после применения скидки","","tapper.tests.keeper_e2e._8_discount._9_3_AddDishAfterDiscountTest","","Добавление позиций к заказу после применения скидки",""
"broken","Fri Mar 03 17:52:40 GMT 2023","Fri Mar 03 17:52:41 GMT 2023","197","","Проверка таба Столы","","tapper.tests.support_personal_account.logs_and_permissions._15_0_TablesTabTest","authorizeUser","1.1. Авторизация под администратором в личном кабинете",""
"broken","Fri Mar 03 17:34:09 GMT 2023","Fri Mar 03 17:34:36 GMT 2023","27351","","Все вариации модификаторов. Полная оплата без чаевых","","tapper.tests.keeper_e2e._7_modificator._8_9_BigFullPayTest","createAndFillOrder","1. Создание заказа в r_keeper и открытие стола, проверка что позиции на кассе совпадают с позициями в таппере",""
"broken","Fri Mar 03 13:33:24 GMT 2023","Fri Mar 03 13:33:41 GMT 2023","16238","","keeper - комплекс оплат для проверки на странице истории операций в админке","","tapper.tests.keeper_e2e._0_common._0_3_OperationsHistoryTest","createAndFillOrder","1.1. Создание заказа в r_keeper и открытие стола",""
"broken","Fri Mar 03 13:34:28 GMT 2023","Fri Mar 03 13:34:28 GMT 2023","5","","Добавление позиции после частичной оплаты","","tapper.tests.keeper_e2e._4_addAndRemoveDishPositions._0_4_5_AddAfterPartAndPartTest","payAndGoToAcquiring","1.5 Переходим на эквайринг, вводим данные, оплачиваем заказ",""
"broken","Fri Mar 03 13:35:40 GMT 2023","Fri Mar 03 13:35:40 GMT 2023","1","","Официант не верифицирован, без привязанной карты, частичная оплата  -СБ","","tapper.tests.keeper_e2e._6_waiter._6_6_NonVerifiedPartNoCardNoScTest","savePaymentDataForAcquiring","5. Сохраняем данные по оплате для проверки их корректности на эквайринге, и транзакции б2п",""
"broken","Fri Mar 03 18:59:36 GMT 2023","Fri Mar 03 19:00:07 GMT 2023","30248","","Полная оплата с общей скидкой, позиции обычные и с модификаторами","","tapper.tests.keeper_e2e._8_discount._9_6_MixDishTypeFullPayTest","matchTgMsgDataAndTapperData","7. Проверка сообщения в телеграмме",""
"failed","Fri Mar 03 15:52:28 GMT 2023","Fri Mar 03 15:53:04 GMT 2023","35851","","Частичная оплата с 1-го устройства с комиссией со 2-го без комиссии","","tapper.tests.keeper_e2e._5_sockets._6_1_PartNoScAndFullScPayTwoGuestTest","payAndGoToAcquiring","1.6. Переходим на эквайринг, вводим данные, оплачиваем заказ",""
"broken","Fri Mar 03 17:12:17 GMT 2023","Fri Mar 03 17:12:17 GMT 2023","4","","Уменьшение скидки (Полной)","","tapper.tests.keeper_e2e._8_discount._8_6_ReduceDiscountTest","checkAllDishesSumsWithAllConditions","3. Выбираем блюда, проверяем все условия",""
"broken","Fri Mar 03 17:52:39 GMT 2023","Fri Mar 03 17:52:39 GMT 2023","8","","Отвязка и привязка карты официанта","","tapper.tests.waiter_personal_account._14_1_UnlinkLinkWaiterCardTest","linkWaiterCard","1.6. Привязка кредитной карты в профиле официанта",""
"broken","Fri Mar 03 13:35:16 GMT 2023","Fri Mar 03 13:35:16 GMT 2023","2","","Добавление и удаление позиции после в одном заказе","","tapper.tests.keeper_e2e._4_addAndRemoveDishPositions._0_4_7_AddAndRemoveFullTest","checkPayment","1.9. Проверяем корректность оплаты, проверяем что транзакция в б2п соответствует оплате",""
"broken","Fri Mar 03 15:01:05 GMT 2023","Fri Mar 03 15:01:24 GMT 2023","19124","","Частичная оплата нескольких позиций последняя с модификатором","","tapper.tests.keeper_e2e._7_modificator._7_8_CommonButLastModiDishPartPayTest","createAndFillOrder","1. Создание заказа в r_keeper и открытие стола, проверка что позиции на кассе совпадают с позициями в таппере",""
"broken","Fri Mar 03 15:23:27 GMT 2023","Fri Mar 03 15:43:28 GMT 2023","1200396","","Частичная оплата со скидкой(целой)","","tapper.tests.keeper_e2e._8_discount._8_0_PartPayTest","matchTgMsgDataAndTapperData","7. Проверка сообщения в телеграмме",""
"passed","Fri Mar 03 16:06:34 GMT 2023","Fri Mar 03 16:06:46 GMT 2023","11953","","Частичная оплата позиций с модификаторами с 1-го устройства и полная оплата со 2-го","","tapper.tests.keeper_e2e._7_modificator._8_3_PartAndFullPayTwoGuestTest","openTables","1.2. Открываем стол на двух разных устройствах, проверяем что не пустые",""
"broken","Fri Mar 03 13:38:14 GMT 2023","Fri Mar 03 13:38:31 GMT 2023","16486","","Частичная оплата - -чай -сбор","","tapper.tests.keeper_e2e._2_partialPayment._2_3_NoTipsNoScTest","createAndFillOrder","1. Создание заказа в r_keeper и открытие стола, проверка что позиции на кассе совпадают с позициями в таппере",""
"broken","Fri Mar 03 13:33:01 GMT 2023","Fri Mar 03 13:33:01 GMT 2023","17","","tapper - переход на пустой стол, создание заказа на кассе, появление заказа в таппере","","tapper.tests.keeper_e2e._0_common._0_0_TapperOrderAppearsWhenCreatedInKeeperTest","refreshAndCheck","4. Обновляем страницу, проверяем что стол не пустой на кассе совпадают с позициями в таппере",""
"passed","Fri Mar 03 17:23:58 GMT 2023","Fri Mar 03 17:24:08 GMT 2023","10754","","Частичная оплата с 1-го устройства и полная со 2-го устройства c чаевыми","","tapper.tests.keeper_e2e._5_sockets._6_0_PartAndFullPayTwoGuestTipsTest","openTables","1.2. Открываем стол на двух разных устройствах, проверяем что не пустые",""
"broken","Fri Mar 03 13:39:03 GMT 2023","Fri Mar 03 13:39:05 GMT 2023","1502","","Частичная оплата с сервисным сбором","","tapper.tests.keeper_e2e._7_modificator._7_3_PartPayScTest","checkSumTipsSC","3. Проверка суммы, чаевых, сервисного сбора. Устанавливаем сервисный сбор",""
"broken","Fri Mar 03 17:51:51 GMT 2023","Fri Mar 03 17:51:51 GMT 2023","2","","Авторизация, все кейсы","","tapper.tests.admin_personal_account.auth_and_registration._8_0_AuthAndRegistrationTest","isPasswordEyeIconCorrect","1.4. Проверка раскрытия пароля по значку глаза",""
"broken","Fri Mar 03 17:51:59 GMT 2023","Fri Mar 03 17:51:59 GMT 2023","3","","Проверка что включенное меню отображается","","tapper.tests.admin_personal_account.menu._11_0_TotalTest","checkMenuIconAndContainerInTable","1.4. Переходим на стол и проверяем что иконка меню есть и само меню отображается",""
"broken","Fri Mar 03 17:14:04 GMT 2023","Fri Mar 03 17:14:04 GMT 2023","2","","Удаление скидки после частичной оплаты","","tapper.tests.keeper_e2e._8_discount._8_8_RemoveDiscountAfterPartPayTest","payAndGoToAcquiring","1.3. Переходим на эквайринг, вводим данные, оплачиваем заказ",""
"broken","Fri Mar 03 17:51:53 GMT 2023","Fri Mar 03 17:51:53 GMT 2023","205","","Авторизация официанта, когда у него отозвали приглашение","","tapper.tests.admin_personal_account.waiters._9_2_AuthAfterCancelingInvitationTest","authorizeUser","1.1. Авторизация под администратором в личном кабинете",""
"broken","Fri Mar 03 18:15:56 GMT 2023","Fri Mar 03 18:15:57 GMT 2023","206","","Уменьшение скидки после частичной оплаты","","tapper.tests.keeper_e2e._8_discount._9_0_ReduceDiscountAfterPartPayTest","payAndGoToAcquiringAgain","1.8. Оплачиваем остатки",""
"broken","Fri Mar 03 17:51:59 GMT 2023","Fri Mar 03 17:51:59 GMT 2023","223","","Проверка что включенное меню отображается","","tapper.tests.admin_personal_account.menu._11_0_TotalTest","authorizeUser","1.1. Авторизация под администратором в личном кабинете",""
