"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"RKeeper","Общие","Общая функциональность таппера","0","24","0","0","0"
"Личный кабинет техподдержки","Заглушка","Заглушаем только один ресторан, но через поиск, и проверяем все вариации заглушки","0","9","0","0","0"
"RKeeper","Частичная оплата","Частичная оплата - -чай +сбор","0","8","0","0","0"
"Личный кабинет официант ресторана","Отвязка и привязка карты официанта","","0","10","0","0","0"
"Личный кабинет администратора ресторана","Столики и QR-коды","","1","16","0","0","0"
"RKeeper","Полная оплата","Оплата по кнопке 'Оплатить' - +чай +сбор","0","7","0","0","0"
"RKeeper","Сокеты","Одновременная частичная оплата с 2х устройств","5","2","9","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Удаление позиции, полная оплата","0","8","0","0","0"
"RKeeper","Чаевые","Проверка логики установки дефолтных чаевых от суммы заказа, ввод кастомных чаевых, ошибки суммы","5","10","0","0","0"
"RKeeper","Сокеты","Частичная оплата с 1-го устройства с комиссией со 2-го без комиссии","7","2","6","0","0"
"RKeeper","Скидка","Уменьшение скидки (Полной)","0","10","0","0","0"
"RKeeper","Сокеты","Открытие стола у двух гостей, первый гость уходит в оплату, у второго должны быть блюда заблокированы.После первый гость выходит из оплаты, и у второго они должны разблокироваться","3","0","4","0","0"
"RKeeper","Сокеты","Частичная оплата на 1одном устройстве, и проверка этих позиций на другом, затем полная оплата с проверками статусов у второго","3","1","6","0","0"
"RKeeper","Модификаторы","Частичная оплата без сервисного сбора","0","9","0","0","0"
"RKeeper","Сокеты","Частичная оплата с 1-го устройства и полная со 2-го устройства без сервисного сбора","7","2","6","0","0"
"RKeeper","Скидка","Удаление скидки когда осталась одна позиция ","0","12","0","0","0"
"RKeeper","Сокеты","Частичная оплата с 1-го устройства и полная со 2-го устройства c чаевыми","7","2","6","0","0"
"RKeeper","Общие","Большой счёт,частичная оплата в несколько платежей до конца - +чай +сбор","0","7","0","0","0"
"RKeeper","Общие","tapper - переход на пустой стол, создание заказа на кассе, появление заказа в таппере","1","6","0","0","0"
"RKeeper","Модификаторы","Частичная оплата позиций с модификаторами с 1-го устройства и полная оплата со 2-го","7","2","6","0","0"
"RKeeper","Скидка","Добавление позиций к заказу после применения скидки","0","9","0","0","0"
"Личный кабинет техподдержки","Логи/доступы","Проверка таба Столы","1","17","0","0","0"
"RKeeper","Модификаторы","Все вариации модификаторов. Полная оплата без чаевых","0","8","0","0","0"
