"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jan 27 12:16:13 GMT 2023","Fri Jan 27 12:16:13 GMT 2023","4","","Добавление и удаление позиции после в одном заказе","","tapper.tests.keeper_e2e._4_addAndRemoveDishPositions._0_4_7_AddAndRemoveFullTest","checkPayment","1.9. Проверяем корректность оплаты, проверяем что транзакция в б2п соответствует оплате",""
"broken","Fri Jan 27 12:17:29 GMT 2023","Fri Jan 27 12:17:29 GMT 2023","3","","Официант верифицирован, без привязанной карты, полная оплата -СБ","","tapper.tests.keeper_e2e._6_waiter._6_1_VerifiedFullNoCardNoScTest","checkPayment","5. Проверяем корректность оплаты, проверяем что транзакция в б2п соответствует оплате",""
"broken","Fri Jan 27 12:12:43 GMT 2023","Fri Jan 27 12:12:43 GMT 2023","4","","Частичная оплата на 1-м устройстве, позиции в статусе 'Оплачиваются', 'Оплачено' на 2-м устройстве","","tapper.tests.keeper_e2e._5_sockets._5_1_PartCheckEveryStatusTest","checkDisabledDishes","1.4. Проверяем что блюда заблокированы",""
"broken","Fri Jan 27 12:25:37 GMT 2023","Fri Jan 27 12:25:42 GMT 2023","5208","","tapper.tests.keeper_e2e._8_discount._8_2_PartAndFullPayAfterRemovingDiscountTest","","tapper.tests.keeper_e2e._8_discount._8_2_PartAndFullPayAfterRemovingDiscountTest","checkSumTipsSC","1.2. Проверка суммы, чаевых, сервисного сбора",""
"broken","Fri Jan 27 12:16:55 GMT 2023","Fri Jan 27 12:17:12 GMT 2023","17159","","Частичная оплата - -чай +сбор","","tapper.tests.keeper_e2e._2_partialPayment._2_2_NoTipsScTest","createAndFillOrder","1. Создание заказа в r_keeper и открытие стола, проверка что позиции на кассе совпадают с позициями в таппере",""
"broken","Fri Jan 27 12:14:35 GMT 2023","Fri Jan 27 12:14:35 GMT 2023","9","","Оплата по кнопке 'Оплатить' - -чай -сбор","","tapper.tests.keeper_e2e._1_fullPayment._1_4_NoTipsNoScTest","checkSumTipsSC","2. Проверка суммы, чаевых, без сервисного сбора",""
"failed","Fri Jan 27 12:20:57 GMT 2023","Fri Jan 27 12:21:18 GMT 2023","21051","","Официант не верифицирован, без привязанной карты, частичная оплата  -СБ","","tapper.tests.keeper_e2e._6_waiter._6_6_NonVerifiedPartNoCardNoScTest","matchTgMsgDataAndTapperData","8. Проверка сообщения в телеграмме",""
"broken","Fri Jan 27 12:10:55 GMT 2023","Fri Jan 27 12:10:55 GMT 2023","4","","Общая функциональность таппера","","tapper.tests.keeper_e2e._0_common._0_1_AllElementsTest","isCheckContainerShown","1.9. Проверяем что все элементы в блоке чека отображаются корректно",""
"broken","Fri Jan 27 12:19:38 GMT 2023","Fri Jan 27 12:19:38 GMT 2023","2","","Официант не верифицирован, без привязанной карты, полная оплата + СБ","","tapper.tests.keeper_e2e._6_waiter._6_4_NonVerifiedFullNoCardWithScTest","savePaymentDataForAcquiring","3. Сохраняем данные по оплате для проверки их корректности на эквайринге, и транзакции б2п",""
"broken","Fri Jan 27 12:13:08 GMT 2023","Fri Jan 27 12:13:08 GMT 2023","265","","Частичная оплата на 1-м устройстве, позиции в статусе 'Оплачиваются', 'Оплачено' на 2-м устройстве","","tapper.tests.keeper_e2e._5_sockets._5_1_PartCheckEveryStatusTest","switchTo1stdGuestAndCheckPaidDishes","2.1. Переключаемся на первого гостя, проверяем что суммы оплачены",""
"broken","Fri Jan 27 12:20:17 GMT 2023","Fri Jan 27 12:20:17 GMT 2023","13","","Официант не верифицирован, без привязанной карты, полная оплата - СБ","","tapper.tests.keeper_e2e._6_waiter._6_5_NonVerifiedFullNoCardNoScTest","checkSumTipsSC","2. Проверка суммы, отсутствия чаевых, корректности сервисного сбора",""
